feature,type,iv
checking_status,cat,0.5349430536620837
credit_history,cat,0.2589627618579018
savings_status,cat,0.2463772384796189
employment,cat,0.1603351063220657
duration,num,0.14056589895789878
other_payment_plans,cat,0.1314802836835156
purpose,cat,0.12140371449949516
housing,cat,0.11733732207765483
property_magnitude,cat,0.09363696724149144
foreign_worker,cat,0.08642677016690874
age,num,0.04907921856410763
personal_status,cat,0.03984700320629789
credit_amount,num,0.037335864570795824
other_parties,cat,0.0324673028306967
installment_commitment,num,0.030943786539200557
own_telephone,cat,0.0193043362456329
job,cat,0.0186710118899866
residence_since,num,0.00015445764362154418
existing_credits,num,2.7505353159773554e-06
num_dependents,num,0.0
